AccountNo,CustomerName,CustomerPhone,DISCO,TariffCategory,AccountType,BillingMonth,UnitsConsumed_kWh,TariffRate_per_kWh,BillAmount,PreviousArrears,TotalAmountDue,PaymentStatus,MeterNumber,State
DISCO236659,Musa Ajayi,+234204339718,IKEDC (Ikeja),Residential (R1),Pre-paid,02/08/2024,262.3,NGN 185,,?,"₦115,213.64",Partial,MTR5616729,Akwa Ibom
DISCO589761,Amaka Nwosu,+234938661331,KEDCO (Kano),R2,Postpaid,2024-08-26,4446.88,64.05,284822.66 naira,nil,"N284,823",Partial,MTR1449635,Enugu
DISCO389784,Chinedu Nwosu,invalid,EEDC (Enugu),commercial,Pre-paid,not set,2493.69,86.00 ,214457.34 naira,6596.48,"NGN 221,054",Partially Paid,MTR3987869,Imo
DISCO307070,Funmilayo Afolabi,0304 891 3824,EKEDC (Eko),Commercial (C1),prepaid,05/15/2024,3243.93,₦211.21,"₦685,150.46",unknown,685150.4553,Paid,MTR7301591,Cross River
DISCO782236,Tunde Nnamdi,30988392053,KEDCO (Kano),r1,Pre-paid,,56.19,57.44 naira,NULL,"N19,509",--,paid ,MTR9973473,Edo
DISCO259580,Ngozi Nwosu,0942 152 9108,EEDC (Enugu),C1 ,POSTPAID,2024/05/20,435.37,₦222.17,"96,726.15 ",,"96,726.15 ",paid,MTR7552825,Kano
DISCO658784,KEMI AJAYI   ,0890 309 1436,IBDC (Ibadan),Commercial (C1),POSTPAID,03/01/2025,3030.63,N177,"N535,270",?,"NGN 535,270",paid ,n/a,Oyo
DISCO852058,Funmilayo Nnamdi,95453817921,EKEDC (Eko),Commercial (C1),Post paid,09-Jul-2024,--,₦80.33,"N339,631","₦23,619.33","₦363,250.55",Paid,MTR8021416,Akwa Ibom
DISCO876103,Bola Okeke,(661) 794-5491,KEDCO (Kano),Industrial (D3),POSTPAID,06.11.2024,4443.4,₦151.80,"674,508.12 ",,674508.12 naira,Arrears,MTR3646482,Lagos
DISCO948190,Blessing Abubakar,36815798123,EKEDC (Eko),commercial,POSTPAID,13 December 2024,2115.29,₦77.14,163173.47 naira,N/A,163173.47 naira,paid ,MTR8300596,Abuja
DISCO553310,Bisi Okafor,07294209548,KEDCO (Kano),C1 ,prepaid,2024/06/22,1512.26,,"NGN 217,402",,"₦217,402.50",UNPAID,-,LAGOS
DISCO833327,Bisi Afolabi,06870079420,KEDCO (Kano),C1 ,prepaid,2025-05-10,4304.28,171.12,"₦736,548.39",63546.56 naira,"₦800,094.95",paid,MTR2333079,Kaduna
DISCO816389,Yusuf Balogun,31981898471,PHED (Port Harcourt),R1,Prepaid,01/06/2025,3293.32,null,"N496,336",4534.68,,UNPAID,MTR2514213,Plateau
DISCO581688,Ibrahim Bello   ,04494856257,IKEDC (Ikeja),R2,Prepaid,2025/01/04,1635.42,nil,"NGN 295,700",79420.07 naira,,Arrears,MTR8292109,Ogun
DISCO807100,Emeka Okafor,0684 577 6004,AEDC (Abuja),Industrial (D3),Pre-paid,05 August 2024,182.78,₦116.05,"N21,212",,"₦21,211.62",Arrears,MTR4905409,Enugu
DISCO611954,Chidi Ogundimu,N/A,AEDC (Abuja),Industrial (D3),Post paid,08.02.2025,3170.16,110.41 ,350017.37 naira,N/A,350017.36559999996,Paid,MTR1822257,Plateau
DISCO968713,  fatima afolabi,+234547492975,PHED (Port Harcourt),C1 ,Pre-paid,16.08.2024,302.82,NGN 165,"50,025.86 ",nil,"₦50,025.86",paid,MTR4014611,Rivers
DISCO792718,Yusuf Okeke,234-151-826-068,IKEDC (Ikeja),C1 ,Pre-paid,14-Sep-2024,1243.54,N141,"175,276.96 ",,,Partial,MTR3000336,Edo
DISCO746401,Aliyu Lawal,02196207100,PHED (Port Harcourt),Industrial (D3),Pre-paid,N/A,752.86,155.66,"₦117,190.19",NIL,117190.19 naira,Paid,MTR1716488,Rivers
DISCO624393,Tobi Balogun,+234909022599,KEDCO (Kano),commercial,Prepaid,10 August 2024,3315.26,215.62 naira,"N714,836",null,"NGN 714,836",UNPAID,MTR7060703,Ibadan
DISCO248220,segun abubakar,234-218-230-768,IKEDC (Ikeja),C1 ,Pre-paid,2024-01-09,4135.66,N68,282713.72 naira,,"N282,714",Paid,MTR9766338,Imo
DISCO589761,Amaka Nwosu,+234938661331,KEDCO (Kano),R2,Postpaid,2024-08-26,4446.88,64.05,284822.66 naira,nil,"N284,823",Partial,MTR1449635,Enugu
DISCO448799,Bola Adeyemi,10339937886,IKEDC (Ikeja),Commercial (C1),POSTPAID,2025-01-12,2713.98,194.99,529198.96 naira,unknown,"N529,199",Partially Paid,MTR7206518,Plateau
DISCO192545,Tunde Afolabi,+234160875243,IKEDC (Ikeja),Residential,POSTPAID,16/06/2024,737.59,₦80.82,59612.02 naira,nil,59612.023799999995,Arrears,MTR3276657,Lagos
DISCO525463,Amara Ogundimu,+234173203093,EEDC (Enugu),Residential (R1),Postpaid,24-Jun-2024,Unknown,NIL,356108.08 naira,,"NGN 363,922",paid ,MTR3378316,Plateau
DISCO917497,  Tobi Okafor,01705802566,EKEDC (Eko),Commercial (C1),prepaid,2025/04/11,494.22,N217,107181.49 naira,null,107181.49140000001,UNPAID,MTR8172651,Abuja
DISCO740989,Musa Eze,+234950033423,EEDC (Enugu),C1 ,Postpaid,2025-03-01,3602.64,NGN 143,516474.47 naira,,"NGN 516,474",paid ,MTR1630550,Ibadan
DISCO178265,Segun Bello,09634807970,KEDCO (Kano),Commercial (C1),Prepaid,2025/01/15,1517.31,NIL,344778.3513,20863.93,"N365,642",UNPAID,MTR9818011,Cross River
DISCO579959,   obinna ajayi,0253 817 9335,PHED (Port Harcourt),R1,Pre-paid,05 June 2024,1604.52,214.32 naira,"₦343,880.73",N/A,"NGN 381,785",UNPAID,MTR2492527,Edo
DISCO145833,IBRAHIM ADEYEMI,(289) 141-6128,AEDC (Abuja),Industrial (D3),POSTPAID,06/26/2024,902.13,N69,61976.331000000006,"N67,298",129273.85100000001,Unpaid,MTR9930441,Anambra
DISCO767881,Adaeze Adekunle,43992011669,PHED (Port Harcourt),Residential,Post paid,09/01/2025,2054.8,NGN 73,149281.22 naira,"N62,068","NGN 211,349",Partial,MTR1611857,oyo
DISCO235863,  WALE BELLO,06181753443,IBDC (Ibadan),commercial,Pre-paid,03/16/2024,2044.52,N65,"₦132,832.46",,132832.46 naira,paid ,MTR8307873,lagos
DISCO615825,Fatima Bello,+234216110760,IKEDC (Ikeja),Industrial (D3),Post paid,2024-01-03,2872.96,NGN 89,"₦255,205.04",,"₦255,205.04",Partial,MTR1725078,Kano
DISCO313265,  IBRAHIM MOHAMMED,(974) 192-6764,PHED (Port Harcourt),R2,Post paid,09.11.2024,3230.38,N185,596102.02 naira,  ,"NGN 596,102",Unpaid,?,Fct Abuja
DISCO208376,Ibrahim Ajayi,0573 660 9656,KEDCO (Kano),commercial,Prepaid,28.02.2025,3750.96,133.51 naira,"N500,791","N69,339","N570,129",Arrears,MTR9898656,Rivers
DISCO721211,CHINEDU LAWAL,51837606441,AEDC (Abuja),R2,prepaid,09/26/2024,122.71,210.29 ,25804.69 naira,"NGN 76,215",102019.5159,paid,MTR2974207,Akwa Ibom
DISCO172551,Fatima Ajayi,0554 234 0163,IBDC (Ibadan),Industrial (D3),prepaid,2024-12-14,2124.64,NGN 111,235898.7792,,,Paid,MTR9575204,lagos
DISCO715145,Sadiq  Ogundimu   ,09269212447,EEDC (Enugu),r1,prepaid,14/02/2024,541.07,55.06,"N29,791",,29791.314200000004,UNPAID,MTR9008084,Abuja
DISCO920467,Grace Abubakar,N/A,EEDC (Enugu),R1,Postpaid,2024/01/14,2532.35,₦122.28,309655.758,,309655.76 naira,UNPAID,MTR1417460,Kaduna
DISCO165073,Kunle Ajayi,234-615-347-355,AEDC (Abuja),Residential (R1),Post paid,27-Jan-2025,nil,NGN 98,"N331,806","22,095.59 ",,paid ,MTR6997357,Kano
DISCO237227,Musa Balogun,(749) 261-7647,AEDC (Abuja),R2,POSTPAID,12/21/2024,1133.11,NGN 153,NULL,"60,703.66 ",233525.5972,Paid,MTR2750878,Kano
DISCO306061,Femi Nwosu,+234539423733,IBDC (Ibadan),R1,POSTPAID,04 March 2025,386.45,NGN 167,"N64,603",N/A,64602.85 naira,UNPAID,MTR8891816,Kano
DISCO740361,Aliyu Okeke,07214586833,PHED (Port Harcourt),r1,Prepaid,11.01.2025,935.76,176.50 ,"N165,162",,"NGN 165,162",Partially Paid,MTR5434109,Cross River
DISCO189416,Wale Nwosu,+234975451052,AEDC (Abuja),Residential (R1),prepaid,21-Jul-2024,3726.2,164.81 ,"₦614,115.02",,614115.022,Arrears,MTR5201680,Lagos
DISCO663579,Tobi Balogun,89363926495,AEDC (Abuja),Industrial (D3),Post paid,31/08/2024,2874.54,93.90 naira,269919.30600000004,,"₦269,919.31",Paid,MTR1388136,Abuja
DISCO468803,Amara Mohammed   ,N/A,AEDC (Abuja),C1 ,Post paid,21-May-2025,4163.97,?,"NGN 284,774",N/A,"NGN 284,774",paid ,MTR1079924,Anambra
DISCO723810,Blessing Nwosu,0474 689 7152,EEDC (Enugu),R1,Prepaid,23.06.2024,3155.25,NGN 118,"373,329.18 ",71232.89 naira,"NGN 444,562",Unpaid,MTR5310790,KANO
DISCO774601,Amara Adekunle,0027 278 5760,PHED (Port Harcourt),Residential,prepaid,02/03/2024,950.48,NGN 191,"NGN 181,513","NGN 47,069","228,582.01 ",Arrears,MTR7131350,Rivers
DISCO734594,FEMI BALOGUN,0270 267 2885,EKEDC (Eko),C1 ,prepaid,2024/07/11,1670.89,NGN 122,"203,180.22 ",NULL,"NGN 203,180",Partial,MTR1862334,Edo
DISCO543877,Fatima Okonkwo,99219212493,KEDCO (Kano),Residential (R1),prepaid,05/02/2025,851.62,₦87.52,"₦74,533.78",,"N74,534",Unpaid,-,Rivers
DISCO800690,Chidi Okonkwo,+234397524508,PHED (Port Harcourt),R2,Prepaid,13-Aug-2024,4051.71,212.98,"₦862,933.20","NGN 4,014",,Partial,MTR8681193,Akwa Ibom
DISCO200084,Chioma Afolabi,+234376904268,EEDC (Enugu),commercial,Postpaid,20.01.2024,1167.3,₦184.24,?,  ,"NGN 215,063",Partially Paid,  ,Plateau
DISCO470888,Bisi Afolabi,(013) 806-9847,PHED (Port Harcourt),Residential (R2),prepaid,22-Jan-2025,2877.0,NGN 94,269114.58 naira,-,269114.58,Partial,MTR2815718,Akwa Ibom
DISCO390740,FUNMILAYO NWOSU,234-047-658-018,IKEDC (Ikeja),Residential,Prepaid,18/04/2025,657.06,123.47,81127.1982,,"NGN 81,127",UNPAID,?,kano
DISCO749039,Chioma Afolabi,(429) 618-4462,AEDC (Abuja),Industrial (D3),prepaid,23-Feb-2025,1962.75,NGN 59,N/A,28445.17,"₦145,130.66",UNPAID,MTR3173163,Edo
DISCO364965,Kemi Bello,84902770384,EKEDC (Eko),r1,Post paid,08 March 2024,1367.09,₦187.13,"₦255,823.55",nil,255823.55 naira,paid ,MTR6315276,Rivers
DISCO398701,Ibrahim Ogundimu,234-536-866-326,EEDC (Enugu),r1,Postpaid,2024/03/18,2935.99,137.03,--,,"NGN 402,319",paid ,,Cross River
DISCO813123,Bola Nnamdi,234-027-169-385,IBDC (Ibadan),Residential,prepaid,17.04.2024,740.58,136.75 naira,"N101,274",,"NGN 143,466",paid ,MTR5543468,Akwa Ibom
DISCO571413,Tobi Chukwu,0746 542 1406,IBDC (Ibadan),C1 ,Postpaid,2024-11-10,2188.84,NULL,"N500,850",,"N500,850",Partial,--,Enugu
DISCO683069,Halima Balogun,51586734257,AEDC (Abuja),R1,prepaid,21/02/2024,3869.65,₦153.08,"N592,366","N42,051","₦634,417.42",paid,MTR4224468,Anambra
DISCO817495,Femi Chukwu,07179576024,AEDC (Abuja),R1,Postpaid,2024-08-13,4252.1,₦100.90,"N429,037","₦47,529.68",476566.57 naira,paid ,MTR8232296,Akwa Ibom
DISCO251666,blessing mohammed,92548121478,KEDCO (Kano),C1 ,Post paid,05/19/2025,3973.46,119.81 ,476060.2426,55033.81,"N531,094",Partially Paid,MTR4683109,Abuja
DISCO294583,Emeka Eze,234-220-994-999,AEDC (Abuja),Residential (R1),prepaid,18-Jan-2025,3510.53,N175,"N613,395",53675.39,"N667,070",paid,Unknown,KANO
DISCO316087,Grace Suleiman,(292) 752-4372,IKEDC (Ikeja),R2,Post paid,2024-02-29,2036.65,144.46 naira,294214.45900000003,  ,"₦321,264.65",Unpaid,MTR5379448,kano
DISCO875425,  Musa Nwosu,05931109193,EEDC (Enugu),commercial,Prepaid,21/01/2024,NULL,--,"N329,146",,"329,146.16 ",paid ,MTR8800384,Akwa Ibom
DISCO184735,Grace Okafor,55084289107,KEDCO (Kano),Residential,Postpaid,06/13/2025,1933.34,NGN 148,285960.32 naira,17360.86,303321.18 naira,paid,MTR6578358,Delta
DISCO426229,Kunle Okeke,0567 043 1038,IBDC (Ibadan),Residential,prepaid,26-Feb-2024,1112.24,55.22,"N61,418",N/A,"NGN 61,418",UNPAID,MTR8173466,Port Harcourt
DISCO741203,femi yusuf   ,(799) 077-2625,IKEDC (Ikeja),R1,Pre-paid,04-Feb-2025,1729.65,₦88.90,"153,765.89 ","NGN 11,243",,Partial,MTR1697133,Abuja
DISCO809397,  Tunde Ogundimu,,PHED (Port Harcourt),Residential (R2),Postpaid,N/A,843.25,NGN 66,"NGN 55,536",--,55536.445,Arrears,MTR4058847,Anambra
DISCO670981,Femi Lawal,00569659171,AEDC (Abuja),Residential,Prepaid,2025-05-18,491.03,164.47 ,"NGN 80,760",55882.28 naira,136641.98 naira,UNPAID,MTR2340581,Lag
DISCO553239,Yusuf Nnamdi,+234701082207,PHED (Port Harcourt),Residential,Postpaid,00/00/0000,3408.9,117.64 naira,"401,023.00 ",  ,"N401,023",Arrears,MTR4983691,Lagos
DISCO326660,Segun Bello,(227) 495-4508,AEDC (Abuja),Residential (R2),Postpaid,10.11.2024,N/A,N172,"₦717,532.53",null,"N717,533",Partially Paid,MTR7400904,Abuja
DISCO599374,Amara Abubakar,(200) 894-3468,AEDC (Abuja),Residential (R2),Postpaid,2025-05-19,814.15,NGN 125,"N101,736",,"101,736.18 ",Paid,MTR5995921,Cross River
DISCO447218,Tunde Yusuf,+234198179469,PHED (Port Harcourt),Residential (R1),Post paid,20 June 2024,2533.24,67.62,171297.69 naira,,"171,297.69 ",UNPAID,MTR9626210,Abuja
DISCO170646,  Wale Okeke,11477320101,PHED (Port Harcourt),Residential (R1),Post paid,2024-12-01,-,N127,"N522,054",nil,"NGN 522,054",Partially Paid,  ,Rivers
DISCO340677,Segun Yusuf,+234266299123,IKEDC (Ikeja),Residential (R1),POSTPAID,27/03/2025,3079.62,146.30 ,"N450,548","₦13,741.19","464,289.60 ",Unpaid,MTR8329186,Port Harcourt
DISCO473811,SADIQ LAWAL,234-837-340-312,IKEDC (Ikeja),Commercial (C1),Post paid,2025/01/09,449.35,NGN 60,"NGN 26,943",?,"26,943.03 ",Unpaid,MTR3207812,Anambra
DISCO107678,Ibrahim Ogundimu,26860259222,EKEDC (Eko),Residential (R2),Post paid,11-Jan-2025,158.06,null,"₦27,865.98","66,942.72 ","NGN 94,809",Partial,MTR4228028,Ogun
DISCO612611,Funmilayo Chukwu,98056265650,EEDC (Enugu),Commercial (C1),prepaid,2025-01-02,2060.07,₦215.47,443883.28 naira,--,443883.28 naira,paid,MTR9853438,Kaduna
DISCO302717,Chidi Adeyemi,76973577907,AEDC (Abuja),Industrial (D3),prepaid,15 March 2025,1938.32,NGN 56,"N108,294","40,959.91 ","149,253.85 ",Unpaid,MTR6613796,Enugu
DISCO136944,Yusuf Nwosu,09407778097,AEDC (Abuja),Residential,Pre-paid,28-Jun-2024,1216.91,186.14,"N226,516",Unknown,"N226,516",Unpaid,MTR2097649,Anambra
DISCO928928,  Aliyu Chukwu,00463331279,AEDC (Abuja),Residential (R2),POSTPAID,23.02.2025,3909.75,73.63,287874.89 naira,"NGN 22,333","NGN 310,208",Unpaid,MTR3821306,Kaduna
DISCO759251,Ifeoma Balogun,234-701-645-104,IKEDC (Ikeja),Residential (R2),Prepaid,19.10.2024,2751.16,N/A,"N204,356","₦47,237.61",,Partially Paid,MTR2924217,Imo
DISCO968534,Kemi Eze,96636186371,EKEDC (Eko),R2,Pre-paid,12.04.2025,4183.68,N196,"NGN 822,051","N58,924","880,974.84 ",Partial,MTR9556359,Kano
DISCO839654,Tobi Adekunle,28792326487,PHED (Port Harcourt),Industrial (D3),POSTPAID,01/03/2024,191.52,185.52,"₦35,530.79",,,Unpaid,MTR7971652,kano
DISCO675450,Adaeze Ajayi,02146566938,KEDCO (Kano),r1,POSTPAID,2024-03-20,485.4,195.03 ,94667.56 naira,,"₦94,667.56",Arrears,MTR4320590,Cross River
DISCO843828,amaka okonkwo   ,(443) 928-4044,EEDC (Enugu),C1 ,Post paid,10.02.2024,3797.89,unknown,731853.4029999999,,"₦731,853.40",Unpaid,MTR2184573,Delta
DISCO932134,Grace Mohammed,11908334280,EEDC (Enugu),Residential,Prepaid,N/A,49.64,142.22 ,7059.80 naira,  ,"7,059.80 ",Arrears,MTR1291453,Edo
DISCO198031,Amara Ogundimu,+234494653984,AEDC (Abuja),commercial,POSTPAID,11.06.2024,4100.02,N174,"NGN 713,772",  ,713772.48 naira,Partial,MTR1410098,Lag
DISCO570895,Sadiq Suleiman,(207) 049-6110,EKEDC (Eko),R2,POSTPAID,2024-04-04,?,₦198.46,NIL,,814082.92,Unpaid,MTR1959745,Plateau
DISCO269420,Halima Suleiman,02931438663,PHED (Port Harcourt),Residential (R2),Prepaid,05 January 2024,92.68,N79,"NGN 7,293",,"₦7,292.99",paid,MTR8317211,Anambra
DISCO113889,Chidi Okeke,20875102932,EKEDC (Eko),Residential,Pre-paid,03/01/2025,232.56,198.14,nil,"₦21,492.09","N67,572",Paid,MTR7471936,Enugu
DISCO853681,Segun Afolabi,03491141520,PHED (Port Harcourt),Residential,Pre-paid,03/08/2025,1302.82,106.56,"NGN 138,828",,"138,828.50 ",Paid,MTR8027733,Oyo
DISCO521390,Chidi Yusuf,27768962706,AEDC (Abuja),R2,Post paid,11.04.2024,2475.29,201.62,499067.9698,null,"NGN 499,068",Partial,  ,Plateau
DISCO721013,Chidi Lawal,234-113-863-383,EKEDC (Eko),Residential (R1),Prepaid,2024/09/27,2342.65,₦109.32,256098.50 naira,,"N256,098",Arrears,MTR1293064,Ogun
